date,county,malaria_cases
2015-01-01,Mombasa,52
2015-01-02,Mombasa,32
2015-01-03,Mombasa,35
2015-01-04,Mombasa,22
2015-01-05,Mombasa,33
2015-01-06,Mombasa,32
2015-01-07,Mombasa,30
2015-01-08,Mombasa,37
2015-01-09,Mombasa,19
2015-01-10,Mombasa,21
2015-01-11,Mombasa,36
2015-01-12,Mombasa,19
2015-01-13,Mombasa,30
2015-01-14,Mombasa,26
2015-01-15,Mombasa,10
2015-01-16,Mombasa,30
2015-01-17,Mombasa,19
2015-01-18,Mombasa,35
2015-01-19,Mombasa,32
2015-01-20,Mombasa,28
2015-01-21,Mombasa,14
2015-01-22,Mombasa,19
2015-01-23,Mombasa,30
2015-01-24,Mombasa,29
2015-01-25,Mombasa,11
2015-01-26,Mombasa,33
2015-01-27,Mombasa,31
2015-01-28,Mombasa,36
2015-01-29,Mombasa,34
2015-01-30,Mombasa,18
2015-01-31,Mombasa,21
2015-02-01,Mombasa,21
2015-02-02,Mombasa,43
2015-02-03,Mombasa,36
2015-02-04,Mombasa,37
2015-02-05,Mombasa,32
2015-02-06,Mombasa,36
2015-02-07,Mombasa,30
2015-02-08,Mombasa,40
2015-02-09,Mombasa,34
2015-02-10,Mombasa,36
2015-02-11,Mombasa,28
2015-02-12,Mombasa,42
2015-02-13,Mombasa,46
2015-02-14,Mombasa,27
2015-02-15,Mombasa,26
2015-02-16,Mombasa,10
2015-02-17,Mombasa,30
2015-02-18,Mombasa,31
2015-02-19,Mombasa,20
2015-02-20,Mombasa,0
2015-02-21,Mombasa,37
2015-02-22,Mombasa,28
2015-02-23,Mombasa,35
2015-02-24,Mombasa,35
2015-02-25,Mombasa,32
2015-02-26,Mombasa,30
2015-02-27,Mombasa,31
2015-02-28,Mombasa,30
2015-03-01,Mombasa,31
2015-03-02,Mombasa,39
2015-03-03,Mombasa,33
2015-03-04,Mombasa,39
2015-03-05,Mombasa,22
2015-03-06,Mombasa,47
2015-03-07,Mombasa,30
2015-03-08,Mombasa,40
2015-03-09,Mombasa,24
2015-03-10,Mombasa,36
2015-03-11,Mombasa,28
2015-03-12,Mombasa,33
2015-03-13,Mombasa,19
2015-03-14,Mombasa,41
2015-03-15,Mombasa,28
2015-03-16,Mombasa,37
2015-03-17,Mombasa,37
2015-03-18,Mombasa,43
2015-03-19,Mombasa,35
2015-03-20,Mombasa,30
2015-03-21,Mombasa,24
2015-03-22,Mombasa,14
2015-03-23,Mombasa,26
2015-03-24,Mombasa,49
2015-03-25,Mombasa,38
2015-03-26,Mombasa,47
2015-03-27,Mombasa,41
2015-03-28,Mombasa,34
2015-03-29,Mombasa,32
2015-03-30,Mombasa,34
2015-03-31,Mombasa,31
2015-04-01,Mombasa,29
2015-04-02,Mombasa,22
2015-04-03,Mombasa,53
2015-04-04,Mombasa,18
2015-04-05,Mombasa,41
2015-04-06,Mombasa,47
2015-04-07,Mombasa,35
2015-04-08,Mombasa,21
2015-04-09,Mombasa,40
2015-04-10,Mombasa,36
2015-04-11,Mombasa,16
2015-04-12,Mombasa,26
2015-04-13,Mombasa,30
2015-04-14,Mombasa,41
2015-04-15,Mombasa,23
2015-04-16,Mombasa,53
2015-04-17,Mombasa,32
2015-04-18,Mombasa,50
2015-04-19,Mombasa,35
2015-04-20,Mombasa,25
2015-04-21,Mombasa,57
2015-04-22,Mombasa,35
2015-04-23,Mombasa,36
2015-04-24,Mombasa,36
2015-04-25,Mombasa,31
2015-04-26,Mombasa,28
2015-04-27,Mombasa,32
2015-04-28,Mombasa,47
2015-04-29,Mombasa,38
2015-04-30,Mombasa,42
2015-05-01,Mombasa,38
2015-05-02,Mombasa,22
2015-05-03,Mombasa,27
2015-05-04,Mombasa,37
2015-05-05,Mombasa,43
2015-05-06,Mombasa,17
2015-05-07,Mombasa,43
2015-05-08,Mombasa,42
2015-05-09,Mombasa,43
2015-05-10,Mombasa,13
2015-05-11,Mombasa,27
2015-05-12,Mombasa,54
2015-05-13,Mombasa,36
2015-05-14,Mombasa,42
2015-05-15,Mombasa,41
2015-05-16,Mombasa,37
2015-05-17,Mombasa,32
2015-05-18,Mombasa,42
2015-05-19,Mombasa,36
2015-05-20,Mombasa,18
2015-05-21,Mombasa,24
2015-05-22,Mombasa,24
2015-05-23,Mombasa,44
2015-05-24,Mombasa,35
2015-05-25,Mombasa,44
2015-05-26,Mombasa,21
2015-05-27,Mombasa,38
2015-05-28,Mombasa,22
2015-05-29,Mombasa,25
2015-05-30,Mombasa,40
2015-05-31,Mombasa,41
2015-06-01,Mombasa,16
2015-06-02,Mombasa,24
2015-06-03,Mombasa,38
2015-06-04,Mombasa,34
2015-06-05,Mombasa,23
2015-06-06,Mombasa,39
2015-06-07,Mombasa,34
2015-06-08,Mombasa,38
2015-06-09,Mombasa,36
2015-06-10,Mombasa,39
2015-06-11,Mombasa,38
2015-06-12,Mombasa,40
2015-06-13,Mombasa,20
2015-06-14,Mombasa,35
2015-06-15,Mombasa,46
2015-06-16,Mombasa,29
2015-06-17,Mombasa,33
2015-06-18,Mombasa,30
2015-06-19,Mombasa,32
2015-06-20,Mombasa,25
2015-06-21,Mombasa,24
2015-06-22,Mombasa,22
2015-06-23,Mombasa,51
2015-06-24,Mombasa,24
2015-06-25,Mombasa,30
2015-06-26,Mombasa,37
2015-06-27,Mombasa,37
2015-06-28,Mombasa,19
2015-06-29,Mombasa,13
2015-06-30,Mombasa,23
2015-07-01,Mombasa,13
2015-07-02,Mombasa,14
2015-07-03,Mombasa,21
2015-07-04,Mombasa,23
2015-07-05,Mombasa,27
2015-07-06,Mombasa,38
2015-07-07,Mombasa,39
2015-07-08,Mombasa,45
2015-07-09,Mombasa,15
2015-07-10,Mombasa,21
2015-07-11,Mombasa,37
2015-07-12,Mombasa,40
2015-07-13,Mombasa,17
2015-07-14,Mombasa,32
2015-07-15,Mombasa,18
2015-07-16,Mombasa,41
2015-07-17,Mombasa,28
2015-07-18,Mombasa,31
2015-07-19,Mombasa,36
2015-07-20,Mombasa,16
2015-07-21,Mombasa,22
2015-07-22,Mombasa,16
2015-07-23,Mombasa,19
2015-07-24,Mombasa,32
2015-07-25,Mombasa,16
2015-07-26,Mombasa,28
2015-07-27,Mombasa,22
2015-07-28,Mombasa,36
2015-07-29,Mombasa,51
2015-07-30,Mombasa,20
2015-07-31,Mombasa,23
2015-08-01,Mombasa,33
2015-08-02,Mombasa,49
2015-08-03,Mombasa,42
2015-08-04,Mombasa,30
2015-08-05,Mombasa,41
2015-08-06,Mombasa,13
2015-08-07,Mombasa,35
2015-08-08,Mombasa,12
2015-08-09,Mombasa,9
2015-08-10,Mombasa,37
2015-08-11,Mombasa,35
2015-08-12,Mombasa,36
2015-08-13,Mombasa,27
2015-08-14,Mombasa,32
2015-08-15,Mombasa,29
2015-08-16,Mombasa,41
2015-08-17,Mombasa,47
2015-08-18,Mombasa,33
2015-08-19,Mombasa,21
2015-08-20,Mombasa,39
2015-08-21,Mombasa,7
2015-08-22,Mombasa,33
2015-08-23,Mombasa,45
2015-08-24,Mombasa,35
2015-08-25,Mombasa,12
2015-08-26,Mombasa,39
2015-08-27,Mombasa,43
2015-08-28,Mombasa,59
2015-08-29,Mombasa,28
2015-08-30,Mombasa,47
2015-08-31,Mombasa,21
2015-09-01,Mombasa,15
2015-09-02,Mombasa,18
2015-09-03,Mombasa,8
2015-09-04,Mombasa,50
2015-09-05,Mombasa,29
2015-09-06,Mombasa,33
2015-09-07,Mombasa,43
2015-09-08,Mombasa,22
2015-09-09,Mombasa,17
2015-09-10,Mombasa,42
2015-09-11,Mombasa,33
2015-09-12,Mombasa,13
2015-09-13,Mombasa,26
2015-09-14,Mombasa,16
2015-09-15,Mombasa,43
2015-09-16,Mombasa,23
2015-09-17,Mombasa,24
2015-09-18,Mombasa,24
2015-09-19,Mombasa,37
2015-09-20,Mombasa,26
2015-09-21,Mombasa,42
2015-09-22,Mombasa,21
2015-09-23,Mombasa,37
2015-09-24,Mombasa,21
2015-09-25,Mombasa,27
2015-09-26,Mombasa,17
2015-09-27,Mombasa,28
2015-09-28,Mombasa,24
2015-09-29,Mombasa,34
2015-09-30,Mombasa,21
2015-10-01,Mombasa,52
2015-10-02,Mombasa,49
2015-10-03,Mombasa,34
2015-10-04,Mombasa,28
2015-10-05,Mombasa,38
2015-10-06,Mombasa,28
2015-10-07,Mombasa,31
2015-10-08,Mombasa,32
2015-10-09,Mombasa,27
2015-10-10,Mombasa,20
2015-10-11,Mombasa,29
2015-10-12,Mombasa,37
2015-10-13,Mombasa,18
2015-10-14,Mombasa,8
2015-10-15,Mombasa,18
2015-10-16,Mombasa,22
2015-10-17,Mombasa,26
2015-10-18,Mombasa,10
2015-10-19,Mombasa,31
2015-10-20,Mombasa,27
2015-10-21,Mombasa,52
2015-10-22,Mombasa,26
2015-10-23,Mombasa,42
2015-10-24,Mombasa,33
2015-10-25,Mombasa,22
2015-10-26,Mombasa,30
2015-10-27,Mombasa,46
2015-10-28,Mombasa,36
2015-10-29,Mombasa,16
2015-10-30,Mombasa,21
2015-10-31,Mombasa,36
2015-11-01,Mombasa,25
2015-11-02,Mombasa,40
2015-11-03,Mombasa,16
2015-11-04,Mombasa,22
2015-11-05,Mombasa,15
2015-11-06,Mombasa,36
2015-11-07,Mombasa,46
2015-11-08,Mombasa,16
2015-11-09,Mombasa,26
2015-11-10,Mombasa,23
2015-11-11,Mombasa,13
2015-11-12,Mombasa,27
2015-11-13,Mombasa,32
2015-11-14,Mombasa,22
2015-11-15,Mombasa,29
2015-11-16,Mombasa,29
2015-11-17,Mombasa,38
