date,county,rainfall_mm,avg_temp_c
2015-01-01,Mombasa,5.94,25.23
2015-01-02,Mombasa,4.42,29.09
2015-01-03,Mombasa,6.27,26.0
2015-01-04,Mombasa,1.33,27.27
2015-01-05,Mombasa,4.32,30.86
2015-01-06,Mombasa,5.27,29.78
2015-01-07,Mombasa,6.62,29.97
2015-01-08,Mombasa,8.01,26.49
2015-01-09,Mombasa,5.62,26.96
2015-01-10,Mombasa,5.11,26.77
2015-01-11,Mombasa,7.54,26.67
2015-01-12,Mombasa,3.84,25.45
2015-01-13,Mombasa,3.45,27.46
2015-01-14,Mombasa,3.98,24.24
2015-01-15,Mombasa,2.27,24.89
2015-01-16,Mombasa,6.74,28.92
2015-01-17,Mombasa,6.15,28.21
2015-01-18,Mombasa,4.78,26.89
2015-01-19,Mombasa,4.42,28.27
2015-01-20,Mombasa,9.57,28.73
2015-01-21,Mombasa,4.86,29.32
2015-01-22,Mombasa,8.16,25.73
2015-01-23,Mombasa,3.51,28.2
2015-01-24,Mombasa,3.53,27.12
2015-01-25,Mombasa,1.98,26.15
2015-01-26,Mombasa,6.02,27.1
2015-01-27,Mombasa,1.43,28.87
2015-01-28,Mombasa,6.88,29.34
2015-01-29,Mombasa,4.73,28.38
2015-01-30,Mombasa,4.99,26.44
2015-01-31,Mombasa,2.49,31.69
2015-02-01,Mombasa,1.04,24.09
2015-02-02,Mombasa,4.13,24.87
2015-02-03,Mombasa,6.06,27.94
2015-02-04,Mombasa,3.77,27.67
2015-02-05,Mombasa,6.53,29.78
2015-02-06,Mombasa,4.85,29.66
2015-02-07,Mombasa,3.35,24.22
2015-02-08,Mombasa,3.13,24.58
2015-02-09,Mombasa,8.25,26.57
2015-02-10,Mombasa,1.86,27.67
2015-02-11,Mombasa,6.2,27.34
2015-02-12,Mombasa,3.98,26.16
2015-02-13,Mombasa,1.43,30.53
2015-02-14,Mombasa,3.28,26.91
2015-02-15,Mombasa,4.43,25.59
2015-02-16,Mombasa,2.86,27.59
2015-02-17,Mombasa,2.36,28.66
2015-02-18,Mombasa,8.35,28.49
2015-02-19,Mombasa,7.0,29.07
2015-02-20,Mombasa,2.14,22.55
2015-02-21,Mombasa,4.22,25.85
2015-02-22,Mombasa,2.97,30.23
2015-02-23,Mombasa,2.66,30.61
2015-02-24,Mombasa,3.93,29.56
2015-02-25,Mombasa,9.21,30.11
2015-02-26,Mombasa,6.14,26.13
2015-02-27,Mombasa,1.72,27.77
2015-02-28,Mombasa,3.14,30.07
2015-03-01,Mombasa,9.51,25.71
2015-03-02,Mombasa,11.91,24.17
2015-03-03,Mombasa,8.16,29.65
2015-03-04,Mombasa,9.6,26.66
2015-03-05,Mombasa,7.96,27.61
2015-03-06,Mombasa,18.15,29.65
2015-03-07,Mombasa,13.83,28.57
2015-03-08,Mombasa,14.65,28.8
2015-03-09,Mombasa,16.62,30.16
2015-03-10,Mombasa,8.19,32.46
2015-03-11,Mombasa,15.21,27.4
2015-03-12,Mombasa,19.29,28.46
2015-03-13,Mombasa,16.79,28.38
2015-03-14,Mombasa,21.11,25.88
2015-03-15,Mombasa,13.82,28.46
2015-03-16,Mombasa,12.83,29.99
2015-03-17,Mombasa,18.95,29.51
2015-03-18,Mombasa,16.72,26.92
2015-03-19,Mombasa,16.09,27.69
2015-03-20,Mombasa,21.77,29.15
2015-03-21,Mombasa,8.75,28.41
2015-03-22,Mombasa,8.64,23.8
2015-03-23,Mombasa,12.75,28.39
2015-03-24,Mombasa,21.14,28.26
2015-03-25,Mombasa,14.53,29.38
2015-03-26,Mombasa,24.78,28.4
2015-03-27,Mombasa,22.99,27.19
2015-03-28,Mombasa,9.96,27.4
2015-03-29,Mombasa,16.76,27.7
2015-03-30,Mombasa,8.48,24.12
2015-03-31,Mombasa,7.7,27.72
2015-04-01,Mombasa,15.04,27.52
2015-04-02,Mombasa,13.14,28.05
2015-04-03,Mombasa,14.5,24.54
2015-04-04,Mombasa,20.61,29.82
2015-04-05,Mombasa,14.21,30.85
2015-04-06,Mombasa,25.98,26.97
2015-04-07,Mombasa,18.47,27.96
2015-04-08,Mombasa,11.71,27.93
